dataset,method,n_seeds,auc_mean,auc_std,seed_42_auc,seed_123_auc,seed_2024_auc
spambase,CatBoost,3,0.9842937386,0.0001362891,0.9841157000,0.9843188144,0.9844467013
spambase,MLP,3,0.9838749718,0.0010120880,0.9853005341,0.9830512300,0.9832731513
spambase,FT-Transformer,3,0.9765152085,0.0022171558,0.9753103137,0.9796246145,0.9746106974
spambase,CNN-M1,3,0.9008312646,0.0505637390,0.8508124577,0.8815842925,0.9700970436
spambase,CNN-M2,3,0.9617706061,0.0030391165,0.9640073723,0.9638305875,0.9574738584
spambase,CNN-M3-full,3,0.8854785727,0.0931170992,0.9740201610,0.9256262695,0.7567892876
spambase,CNN-M3-noB,3,0.8106403119,0.1121504109,0.9682088317,0.7475306552,0.7161814489
spambase,CNN-M3-corrB,3,0.9714461245,0.0022709388,0.9740878658,0.9717069134,0.9685435944
spambase,CNN-M3-shapB,3,0.8744075829,0.1301352748,0.9784811555,0.9538215602,0.6909200331
spambase,CNN-M3-RG,3,0.8844065799,0.0622449319,0.9581509065,0.8891634695,0.8059053637
spambase,CNN-IGTD,3,0.9761503548,0.0033994568,0.9803768901,0.9720529602,0.9760212142
magic,XGBoost,3,0.9344541818,0.0007169790,0.9335037601,0.9352353539,0.9346234314
magic,LightGBM,3,0.9335711706,0.0003048237,0.9339476826,0.9332011036,0.9335647255
magic,CatBoost,3,0.9345050520,0.0003668194,0.9348031707,0.9339883262,0.9347236592
magic,MLP,3,0.9274659534,0.0012110073,0.9259148553,0.9276127109,0.9288702941
magic,FT-Transformer,3,0.9247004805,0.0020719531,0.9233363560,0.9276283962,0.9231366895
magic,CNN-M1,3,0.9260041988,0.0016724929,0.9237698216,0.9277933381,0.9264494366
magic,CNN-M2,3,0.9248929785,0.0021534269,0.9218718062,0.9267356187,0.9260715106
magic,CNN-M3-full,3,0.9231088703,0.0015368026,0.9252479850,0.9223721562,0.9217064697
magic,CNN-M3-noB,3,0.9237058639,0.0005641024,0.9243872685,0.9230058803,0.9237244429
magic,CNN-M3-corrB,3,0.9213873717,0.0007322489,0.9223958321,0.9206793317,0.9210869512
magic,CNN-M3-shapB,3,0.9248358934,0.0015063403,0.9263454601,0.9227793812,0.9253828388
magic,CNN-M3-RG,3,0.9234866648,0.0009140666,0.9244011781,0.9222381903,0.9238206261
magic,CNN-IGTD,3,0.9234610817,0.0015946609,0.9216646424,0.9231786155,0.9255399874
